Date,Open,High,Low,Close,Volume
01-01-16,430.7210083,436.2460022,427.5150146,434.3340149,36278900
02-01-16,434.6220093,436.0620117,431.8699951,433.4379883,30096600
03-01-16,433.5780029,433.7430115,424.7059937,430.0109863,39633800
04-01-16,430.0610046,434.5169983,429.0840149,433.0910034,38477500
05-01-16,433.0690002,434.1820068,429.6759949,431.9599915,34522600
06-01-16,431.8559875,431.8559875,426.3410034,429.105011,34042500
07-01-16,430.0109863,458.7659912,429.0769958,458.0480042,87562200
08-01-16,457.5379944,462.9339905,447.9379883,453.230011,56993000
09-01-16,453.3829956,454.6400146,446.8890076,447.6109924,32278000
10-01-16,448.2380066,448.3089905,440.3510132,447.9909973,35995900
11-01-16,448.697998,450.6619873,443.855011,448.428009,40450000
12-01-16,448.1820068,448.1820068,435.6900024,435.6900024,115607000
13-01-16,434.6650085,435.1860046,424.4429932,432.3710022,173888000
14-01-16,432.2879944,433.3240051,427.8450012,430.3059998,43945500
15-01-16,430.2550049,430.2550049,364.3309937,364.3309937,153351008
16-01-16,365.072998,390.5570068,354.9140015,387.5360107,120352000
17-01-16,387.1520081,390.9649963,380.0920105,382.2990112,45319600
18-01-16,381.7330017,388.1040039,376.6650085,387.1679993,54403900
19-01-16,387.026001,387.730011,378.9719849,380.1489868,46819800
20-01-16,379.7399902,425.2669983,376.598999,420.230011,121720000
21-01-16,419.6319885,422.8770142,406.2999878,410.2619934,68338000
22-01-16,409.7510071,410.4100037,375.2820129,382.4920044,91546600
23-01-16,382.4339905,394.5429993,381.9809875,387.4909973,56247400
24-01-16,388.1019897,405.4849854,387.5100098,402.9710083,54824800
25-01-16,402.3169861,402.3169861,388.5539856,391.7260132,59062400
26-01-16,392.0020142,397.7659912,390.5750122,392.1530151,58147000
27-01-16,392.4440002,396.8429871,391.7820129,394.9719849,47424400
28-01-16,395.1459961,395.5020142,379.7349854,380.2890015,59247900
29-01-16,380.1080017,384.3789978,365.4519958,379.473999,86125296
30-01-16,378.8649902,380.9169922,376.4909973,378.2550049,30284400
31-01-16,378.2929993,380.3469849,367.8349915,368.7669983,37894300
01-02-16,369.3500061,378.071991,367.9570007,373.0559998,51656700
02-02-16,372.9200134,375.8829956,372.9200134,374.447998,40378700
03-02-16,374.6459961,374.9500122,368.0450134,369.9490051,45933400
04-02-16,370.1740112,391.6080017,369.9930115,389.5939941,69285504
05-02-16,388.8980103,391.0939941,385.571991,386.5490112,43825000
06-02-16,386.5889893,386.631012,372.3869934,376.5220032,49249300
07-02-16,376.5140076,380.8710022,374.9030151,376.6199951,37076300
08-02-16,376.7569885,379.8789978,373.3340149,373.446991,47671100
09-02-16,373.4230042,377.2460022,372.8980103,376.0289917,55318500
10-02-16,376.1459961,385.4830017,375.7829895,381.6489868,85130896
11-02-16,382.1140137,383.1300049,376.3989868,379.6539917,74375600
12-02-16,379.6860046,384.95401,379.6000061,384.2630005,67042800
13-02-16,384.6409912,391.8599854,384.6409912,391.8599854,61911700
14-02-16,392.9320068,407.230011,392.9320068,407.230011,74469800
15-02-16,407.5679932,410.381012,397.7489929,400.1849976,74070496
16-02-16,401.4320068,408.9450073,401.4320068,407.4880066,73093104
17-02-16,407.6560059,421.1669922,406.7839966,416.321991,83193600
18-02-16,416.571991,425.9960022,415.6380005,422.3729858,76752600
19-02-16,422.730011,423.1040039,417.6040039,420.7850037,55711300
20-02-16,421.6010132,441.9840088,421.6010132,437.1640015,93992096
21-02-16,437.7730103,448.04599,429.0769958,438.7980042,89820704
22-02-16,438.9890137,439.0450134,432.9169922,437.7479858,85385200
23-02-16,438.2550049,439.8580017,417.8210144,420.7359924,85244896
24-02-16,420.9559937,425.5499878,413.9070129,424.9549866,67743696
25-02-16,425.0369873,427.7189941,420.4150085,424.5440063,70798000
26-02-16,424.6289978,432.1520081,421.6199951,432.1520081,61486000
27-02-16,432.8389893,434.2309875,428.1029968,432.5190125,41893600
28-02-16,432.5710144,435.6830139,423.8200073,433.5039978,53033400
29-02-16,433.4379883,441.5069885,431.6929932,437.696991,60694700
01-03-16,437.9169922,439.6530151,432.3190002,435.1229858,74895800
02-03-16,435.131012,435.9169922,423.9890137,423.9890137,74955296
03-03-16,423.9119873,425.3729858,419.4110107,421.651001,100484000
04-03-16,421.8359985,425.178009,410.9389954,410.9389954,90856096
05-03-16,410.7810059,411.2569885,394.0350037,400.5700073,135384992
06-03-16,400.5249939,411.9070129,395.7780151,407.7070007,91212496
07-03-16,407.7569885,415.9169922,406.3089905,414.3210144,85762400
08-03-16,414.4649963,416.2430115,411.0939941,413.9719849,70311696
09-03-16,413.8940125,416.0320129,411.6059875,414.8599854,70012304
10-03-16,414.743988,417.5119934,413.2510071,417.131012,81022896
11-03-16,417.2380066,423.9259949,417.0130005,421.6900024,73969696
12-03-16,421.605011,421.7950134,410.0939941,411.6239929,92712896
13-03-16,411.6480103,416.6040039,411.6419983,414.0650024,74322800
14-03-16,414.2009888,416.6839905,414.2009888,416.4379883,95259400
